Market,Ticker,Name,Signal,Confidence %,Last Close,ATR,Entry Low,Entry High,Timeframe
US,AAPL,AAPL,BUY,91.73,273.81,4.6325,271.49,277.52,1d
US,MSFT,MSFT,BUY,78.01,488.02,8.2455,483.90,494.62,1d
US,GOOGL,GOOGL,HOLD,49.92,314.09,7.9984,310.09,320.49,1d
US,NVDA,NVDA,HOLD,54.66,188.61,5.7964,185.71,193.25,1d
US,AMZN,AMZN,HOLD,44.97,232.38,4.7668,230.00,236.19,1d
US,BABA,BABA,HOLD,54.31,150.06,4.3572,147.88,153.55,1d
US,V,V,HOLD,62.47,355.14,5.3166,352.48,359.39,1d
US,MA,MA,HOLD,62.51,579.45,9.2962,574.80,586.89,1d
US,AMD,AMD,HOLD,63.93,215.04,9.5314,210.27,222.67,1d
US,VOO,VOO,BUY,82.36,634.78,6.1637,631.70,639.71,1d
US,META,META,HOLD,53.83,667.55,17.4315,658.83,681.50,1d
SG,CRPU.SI,Sasseur Reit,BUY,80.67,0.68,0.0082,0.68,0.69,1d
SG,J69U.SI,Frasers Cpt Tr,HOLD,55.40,2.31,0.0295,2.30,2.33,1d
SG,BUOU.SI,Frasers L&C Tr,BUY,66.18,1.00,0.0125,0.99,1.00,1d
SG,M44U.SI,Mapletree Log Tr,HOLD,60.61,1.30,0.0158,1.29,1.31,1d
SG,ME8U.SI,Mapletree Ind Tr,BUY,78.92,2.03,0.0180,2.02,2.04,1d
SG,JYEU.SI,Lendlease Reit,HOLD,61.71,0.62,0.0116,0.61,0.62,1d
